QTY,unit,Item,port ,invoice,ETA,DFIA,CIF INR,
20000,2.125,RUTILE,INDER6 ,CHX240311007 ,28/04/24,5211007910,3587000,42500
20000,2.125,RUTILE,INDER6 ,CHX240311008 ,28/04/24,5211007910,3587000,42500
60000,2.185,RUTILE,INDER6 ,CHX240311012 ,28/04/24,5211007910,11064840,131100
72000,2.388,RUTILE,INDER6 ,YXGM24-02-084C ,28/04/24,5211007910,14510204.83,171936
72000,2.388,RUTILE,INDER6 ,YXGM24-02-084D ,28/04/24,5211007910,14510204.83,171936
72000,2.388,RUTILE,INDER6 ,YXGM24-02-084J ,28/04/24,5211007910,14510204.83,171936
20000,2.41,RUTILE,INDER6 ,HYF24627DJ ,28/04/24,5211007910,4066470.25,48200
80000,2.184,RUTILE,INDER6 ,CHX240209022 ,28/04/24,5211007910,14744380,174720
40000,2.185,RUTILE,INDER6 ,CHX240209015,28/04/24,5211007910,7376560,87400
20000,2.39,RUTILE,INDER6 ,HYF24646DJ ,28/04/24,5211007910,4032796.92,47800