DFIA,DFIA DT,DFIA EXP,DFIA File No,Exporter,BAL CIF,PALM OIL,PALM QTY,WHEY,WHEY QTY,Skimmed,Skimmed QTY,DF,DF QTY,FF,FF QTY,VAL 10%
310838864,14/10/20,31/10/21,03/83/076/00051/AM19,CONTINENTAL EXP,232962,15119020,84071,35022000,32694,,,8022200,14011,8022200,7473,23296
310838915,15/10/20,31/10/21,03/84/076/00029/AM19,DALSON FOOD IND,111399,15119020,18990,35022000,16417,,,11082000,7036,8062010,3752,12998
310838098,04/09/20,30/09/21,03/84/076/00016/AM20,DEEPA INTERNATI,11596,15119020,0,35022000,0,,,8022200,1778,8022200,948,4379
310838101,04/09/20,30/09/21,03/84/076/00071/AM19,DEEPA INTERNATI,16329,15119020,0,35022000,1937,,,11082000,1881,8062010,1003,3933
310838914,15/10/20,31/10/21,03/84/076/00064/AM20,DEEPA INTERNATI,54745,15119020,1,35022000,6328,,,8022200,2712,8022200,1446,7534
310833846,02/01/20,31/01/21,03/92/076/00016/AM19,PARLE PRODUCTS ,2658942,15119020,804406,35022000,0,,,11082000,134067,8062010,71502,502138
310835296,09/03/20,31/03/21,03/92/076/00104/AM19,PARLE PRODUCTS ,1511430,15119020,445098,35022000,6,,,11082000,74183,8062010,39564,272528
310836033,30/04/20,30/04/21,03/92/076/00077/AM19,PARLE PRODUCTS ,2419603,15119020,794851,35022000,4,,,11082000,132475,8062010,70653,475782
310837232,16/07/20,31/07/21,03/92/076/00126/AM19,PARLE PRODUCTS ,2145558,15119020,633917,35022000,0,,,8023100,105635,8023100,56348,375865
310837994,31/08/20,31/08/21,03/91/076/00026/AM19,RAMA EXPORTS,128993,15119020,28822,4041010,4803,4021010,6405,23023000,4803,29124200,2562,12899
310835340,09/03/20,31/03/21,03/88/076/00022/AM19,SADAF EXPORTS,101164,15119020,24485,35020000,9522,,,11082000,4080,29124200,2176,10116
310838970,19/10/20,31/10/21,03/88/076/00073/AM20,SHAKTI  FOOD  P,119556,15119020,37122,35022000,14436,,,8022200,6187,8022200,3299,12454
310838902,15/10/20,31/10/21,03/88/076/00028/AM20,SHREE BALAJI PR,137867,15119020,40868,4041010,15893,,,11080000,6811,29124200,3632,15113
310833589,20/12/19,31/12/20,03/89/076/00026/AM19,STRAINA INTERNA,62462,15119020,0,4041020,0,,,13022000,2789,29124200,1507,8832
310833591,20/12/19,31/12/20,03/89/076/00029/AM19,STRAINA INTERNA,244340,15119020,0,4041020,1236,,,13022000,768,29124200,13670,54629
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,