today,sr_no,license,license_date,file_number,exporter,hs_code,item,quantity,v_allotment_usd,v_allotment_inr,company,company_address,mill_name,mill_address
02/01/20,2,0310833199,04/12/19,03/91/076/00116/AM20,RAMA EXPORTS,17019990,cane sugar,"68,619.00","21,959.00","15,78,853.00",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
02/01/20,1,0310833704,26/12/19,03/83/076/00015/AM19,CONTINENTAL EXPORTS,17019990,cane sugar,"75,604.00","24,194.00","17,39,549.00",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
02/01/20,1,0310828052,01/04/19,03/91/076/00042/AM18,RAMA EXPORTS,17019990,cane sugar,"1,00,098.00","32,032.00","23,03,101.00",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
02/01/20,2,0310833198,04/12/19,03/91/076/00092/AM20,RAMA EXPORTS,17019990,cane sugar,"1,44,780.00","46,330.00","33,31,127.00",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
02/01/20,2,0310833197,04/12/19,03/91/076/00091/AM20,RAMA EXPORTS,17019990,cane sugar,"2,31,499.00","74,080.00","53,26,352.00",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
02/01/20,1,0310833701,26/12/19,03/83/076/00021/AM19,J K INTERNATIONAL TRADERS,17019990,cane sugar,"2,55,316.00","81,702.00","58,74,374.00",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
02/01/20,1,0310831630,19/09/19,03/90/076/00022/AM19,VIVA FOOD PRODUCTS,17019990,cane sugar,"3,53,556.00","1,13,138.00","81,34,623.00",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
02/01/20,1,0310833305,09/12/19,03/91/076/00097/AM20,RAMA EXPORTS,17019990,cane sugar,"4,32,102.00","1,38,273.00","99,41,829.00",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
02/01/20,1,0310833286,09/12/19,03/91/076/00096/AM20,RAMA EXPORTS,17019990,cane sugar,"2,67,039.00","85,453.00","61,44,071.00",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
02/01/20,1,0310833303,09/12/19,03/91/0760/0095/AM20,RAMA EXPORTS,17019990,cane sugar,"2,68,314.00","85,861.00","61,73,406.00",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
02/01/20,1,0310833322,10/12/19,03/91/076/00093/AM20,RAMA EXPORTS,17019990,cane sugar,"2,79,579.00","89,466.00","64,32,606.00",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
02/01/20,1,0310833321,10/12/19,03/91/076/00094/AM20,RAMA EXPORTS,17019990,cane sugar,"2,85,704.00","91,426.00","65,73,530.00",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
02/01/20,1,0310833310,09/12/19,03/91/076/00104/AM20,RANI INTERNATIONAL,17019990,cane sugar,"2,88,819.00","92,423.00","66,45,214.00",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
02/01/20,1,0310833286,09/12/19,03/91/076/00096/AM20,RAMA EXPORTS,17019990,cane sugar,"2,67,039.00","85,453.00","61,44,071.00",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
02/01/20,1,0310833303,09/12/19,03/91/0760/0095/AM20,RAMA EXPORTS,17019990,cane sugar,"2,68,313.00","85,861.00","61,73,406.00",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
02/01/20,1,0310833322,10/12/19,03/91/076/00093/AM20,RAMA EXPORTS,17019990,cane sugar,"2,79,579.00","89,466.00","64,32,606.00",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
02/01/20,1,0310833321,10/12/19,03/91/076/00094/AM20,RAMA EXPORTS,17019990,cane sugar,"2,85,703.00","91,425.00","65,73,458.00",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
02/01/20,1,0310833310,09/12/19,03/91/076/00104/AM20,RANI INTERNATIONAL,17019990,cane sugar,"2,88,819.00","92,423.00","66,45,214.00",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
02/01/20,2,0310832494,30/10/19,03/92/076/00050/AM19,PARLE PRODUCTS PVT. LIMITED,17019990,cane sugar,"8,17,053.00","2,61,457.00","1,87,98,759.00",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
02/01/20,2,0910055369,12/03/18,09/73/076/00078/AM13,RAVI FOODS P LTD,17019990,cane sugar,"17,77,658.00","5,68,851.00","4,09,00,356.00",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
02/01/20,2,0910055370,12/03/18,09/73/076/00077/AM13,RAVI FOODS P LTD,17019990,cane sugar,"6,52,797.00","2,08,896.00","1,50,19,554.00",Faith Mercantile Pvt Ltd,"Corporate Office: 1607, Ambadeep Building 14, Kasturba Gandhi Marg, Connaught Place, New Delhi - 110001",Majhaulia Sugar Industries Pvt. Ltd. ,"Majhaulia - Jagdishpur Rd, Majhaulia, Bihar 845454"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,