ctr,id,sr ,license_date,license,cif_usd,exporter,file_number
1,1,1393,17.10.2019,0310832269, 10.75 ,PARLE PRODUCTS PVT LTD,03/92/076/00087/AM18
2,2,1393,04.12.2019,0310833197," 43,084.57 ",RAMA EXPORTS,03/91/076/00091/AM20
3,3,1393,04.12.2019,0310833199," 8,611.55 ",RAMA EXPORTS,03/91/076/00116/AM20
4,4,1414,04.12.2019,0310833198," 59,617.46 ",RAMA EXPORTS,03/91/076/00092/AM20
5,5,1413,25.11.2019,0310832985," 36,771.30 ",RANI INTERNATIONAL,03/91/076/00113/AM20
6,6,1413,04.12.2019,0310833199," 22,724.57 ",RAMA EXPORTS,03/91/076/00116/AM20
7,7,1389,07.03.2019,0310827509," 35,106.81 ",PARLE PRODUCTS PVT.  LIMITED,03/92/076/00062/AM18
8,8,1389,17.10.2019,0310832269," 3,550.97 ",PARLE PRODUCTS PVT.  LIMITED,03/92/076/00087/AM18
9,9,1389,30.10.2019,0310832494," 13,048.88 ",PARLE PRODUCTS PVT.  LIMITED,03/92/076/00050/AM19
10,10,1387,30.04.2013,0310732837," 41,413.80 ",GENERAL EXPORT ENTERPRISES,03/84/076/00012/AM14
11,11,1387,17.10.2019,0310832269," 11,980.20 ",PARLE PRODUCTS PVT.  LIMITED,03/92/076/00087/AM18
12,12,1412,30.10.2019,0310832494," 52,244.92 ",PARLE PRODUCTS PVT.  LIMITED,03/92/076/00050/AM19
13,13,1419,30.10.2019,0310832494," 51,706.66 ",PARLE PRODUCTS PVT.  LIMITED,03/92/076/00050/AM19
14,14,1411,30.10.2019,0310832494," 52,244.92 ",PARLE PRODUCTS PVT.  LIMITED,03/92/076/00050/AM19
15,15,1409,30.01.2019,0310826693," 53,122.11 ",PARLE PRODUCTS PVT.  LIMITED,03/92/076/00034/AM18
16,16,1409,07.03.2019,0310827509," 1,843.96 ",PARLE PRODUCTS PVT.  LIMITED,03/92/076/00062/AM18
17,17,1408,30.01.2019,0310826693," 1,09,881.71 ",PARLE PRODUCTS PVT.  LIMITED,03/92/076/00034/AM18
18,18,1407,07.03.2019,0310827509," 54,127.34 ",PARLE PRODUCTS PVT.  LIMITED,03/92/076/00062/AM18
19,19,1406,07.03.2019,0310827509," 54,127.34 ",PARLE PRODUCTS PVT.  LIMITED,03/92/076/00062/AM18
20,20,1405,07.03.2019,0310827509," 55,000.36 ",PARLE PRODUCTS PVT.  LIMITED,03/92/076/00062/AM18
21,21,1404,07.03.2019,0310827509," 51,188.59 ",PARLE PRODUCTS PVT.  LIMITED,03/92/076/00062/AM18
22,22,1403,30.01.2019,0310826693," 55,031.45 ",PARLE PRODUCTS PVT.  LIMITED,03/92/076/00034/AM18
23,23,1402,30.01.2019,0310826693," 55,031.45 ",PARLE PRODUCTS PVT.  LIMITED,03/92/076/00034/AM18
24,24,1401,30.01.2019,0310826693," 54,119.99 ",PARLE PRODUCTS PVT.  LIMITED,03/92/076/00034/AM18
25,25,1399,30.01.2019,0310826693," 54,976.00 ",PARLE PRODUCTS PVT.  LIMITED,03/92/076/00034/AM18
26,26,1398,30.01.2019,0310826693," 54,976.00 ",PARLE PRODUCTS PVT.  LIMITED,03/92/076/00034/AM18
27,27,1397,30.01.2019,0310826693," 55,619.11 ",PARLE PRODUCTS PVT.  LIMITED,03/92/076/00034/AM18
28,28,1417,25.11.2019,0310832985," 54,534.77 ",RANI INTERNATIONAL,03/91/076/00113/AM20
29,29,1391,17.10.2019,0310832269, 199.73 ,PARLE PRODUCTS PVT LTD,03/92/076/00087/AM18
30,30,1391,19.11.2019,0310832880," 4,456.77 ",RANI INTERNATIONAL,03/91/076/00102/AM20
31,31,1391,25.11.2019,0310832983," 46,349.42 ",RANI INTERNATIONAL,03/91/076/00112/AM20
32,32,1391,04.12.2019,0310833198," 8,490.03 ",RAMA EXPORTS,03/91/076/00092/AM20
33,33,1418,25.11.2019,0310832983," 51,706.86 ",RANI INTERNATIONAL,03/91/076/00112/AM20